"Code","Site","Year"
"JeffreyShoal_2002","JeffreyShoal",2002
"JeffreyShoal_2003","JeffreyShoal",2003
"JeffreyShoal_2004","JeffreyShoal",2004
"JeffreyShoal_2005","JeffreyShoal",2005
"JeffreyShoal_2006","JeffreyShoal",2006
"JeffreyShoal_2007","JeffreyShoal",2007
"JeffreyShoal_2008","JeffreyShoal",2008
"JeffreyShoal_2009","JeffreyShoal",2009
"JeffreyShoal_2010","JeffreyShoal",2010
"JeffreyShoal_2011","JeffreyShoal",2011
"JeffreyShoal_2013","JeffreyShoal",2013
"JeffreyShoal_2015","JeffreyShoal",2015
"JeffreyShoal_2018","JeffreyShoal",2018
"Sawtell_2002","Sawtell",2002
"Sawtell_2003","Sawtell",2003
"Sawtell_2004","Sawtell",2004
"Sawtell_2005","Sawtell",2005
"Sawtell_2006","Sawtell",2006
"Sawtell_2007","Sawtell",2007
"Sawtell_2008","Sawtell",2008
"Sawtell_2009","Sawtell",2009
"Sawtell_2010","Sawtell",2010
"Sawtell_2011","Sawtell",2011
"Sawtell_2013","Sawtell",2013
"Sawtell_2014","Sawtell",2014
"Sawtell_2015","Sawtell",2015
"Sawtell_2018","Sawtell",2018
"SplitBommieN_2002","SplitBommieN",2002
"SplitBommieN_2003","SplitBommieN",2003
"SplitBommieN_2004","SplitBommieN",2004
"SplitBommieN_2005","SplitBommieN",2005
"SplitBommieN_2006","SplitBommieN",2006
"SplitBommieN_2007","SplitBommieN",2007
"SplitBommieN_2008","SplitBommieN",2008
"SplitBommieN_2009","SplitBommieN",2009
"SplitBommieN_2010","SplitBommieN",2010
"SplitBommieN_2011","SplitBommieN",2011
"SplitBommieN_2013","SplitBommieN",2013
"SplitBommieN_2014","SplitBommieN",2014
"SplitBommieN_2015","SplitBommieN",2015
"SplitBommieN_2018","SplitBommieN",2018
"SplitBommieW_2002","SplitBommieW",2002
"SplitBommieW_2003","SplitBommieW",2003
"SplitBommieW_2004","SplitBommieW",2004
"SplitBommieW_2005","SplitBommieW",2005
"SplitBommieW_2006","SplitBommieW",2006
"SplitBommieW_2007","SplitBommieW",2007
"SplitBommieW_2008","SplitBommieW",2008
"SplitBommieW_2009","SplitBommieW",2009
"SplitBommieW_2010","SplitBommieW",2010
"SplitBommieW_2011","SplitBommieW",2011
"SplitBommieW_2013","SplitBommieW",2013
"SplitBommieW_2014","SplitBommieW",2014
"SplitBommieW_2015","SplitBommieW",2015
"SplitBommieW_2018","SplitBommieW",2018
"Whitmore_2002","Whitmore",2002
"Whitmore_2003","Whitmore",2003
"Whitmore_2004","Whitmore",2004
"Whitmore_2005","Whitmore",2005
"Whitmore_2006","Whitmore",2006
"Whitmore_2007","Whitmore",2007
"Whitmore_2008","Whitmore",2008
"Whitmore_2009","Whitmore",2009
"Whitmore_2010","Whitmore",2010
"Whitmore_2011","Whitmore",2011
"Whitmore_2013","Whitmore",2013
"Whitmore_2014","Whitmore",2014
"Whitmore_2015","Whitmore",2015
"Whitmore_2018","Whitmore",2018
